group	gene_symbol	overlaps_DHMS
UP30	2610206B13RIK	1
UP30	ABCC4	0
UP30	ANKRD1	0
UP30	ARRDC4	0
UP30	ATP6V0A1	0
UP30	EBF1	1
UP30	FOXA1	1
UP30	FOXP1	0
UP30	FOXP2	1
UP30	GBX2	1
UP30	HOXA4	1
UP30	HOXA5	1
UP30	HOXC4	0
UP30	HOXD8	1
UP30	IFI35	0
UP30	IRX1	1
UP30	IRX2	1
UP30	IRX3	1
UP30	IRX5	1
UP30	KLK8	0
UP30	LMO1	1
UP30	MAF	1
UP30	NFATC1	1
UP30	NKX2-2	1
UP30	NPAS3	1
UP30	NR2F2	1
UP30	P4HA2	0
UP30	PDLIM4	1
UP30	RANBP17	0
UP30	SALL3	1
UP30	SATB1	0
UP30	SEPT8	0
UP30	SFXN3	1
UP30	SIX3	1
UP30	SOX21	1
UP30	SOX6	1
UP30	TCF12	0
UP30	TCF4	0
UP30	TCFEC	0
UP30	ZFPM2	1
UP30	ZIC1	1
UP30	ZIC5	1
OTHER	0610012H03RIK	1
OTHER	1300010M03RIK	0
OTHER	2610528K11RIK	0
OTHER	6720456H20RIK	0
OTHER	9130011E15RIK	0
OTHER	ABCB10	0
OTHER	ALG6	0
OTHER	AOC3	0
OTHER	ARFL4	0
OTHER	ARPM1	0
OTHER	ASB18	0
OTHER	ATBF1	0
OTHER	ATP9B	0
OTHER	BC043301	0
OTHER	BECN1	0
OTHER	BRCA1	0
OTHER	BTRC	0
OTHER	CBX5	0
OTHER	CD33	0
OTHER	CEACAM18	0
OTHER	CENTG2	0
OTHER	CNTNAP1	1
OTHER	COASY	1
OTHER	COMTD1	0
OTHER	CSF2	0
OTHER	DACH1	1
OTHER	DHODH	0
OTHER	DHX38	0
OTHER	DHX8	0
OTHER	DLX1	1
OTHER	DLX2	1
OTHER	EIF4E3	0
OTHER	ELOVL3	1
OTHER	ELP4	0
OTHER	EN2	1
OTHER	ENPEP	0
OTHER	ETFB	0
OTHER	ETV4	0
OTHER	EVI1	0
OTHER	EVX1	0
OTHER	EVX2	0
OTHER	EYA1	0
OTHER	EZH1	0
OTHER	FBXW4	0
OTHER	FOXA2	1
OTHER	FOXD3	0
OTHER	FTO	0
OTHER	G6PC	0
OTHER	GBF1	0
OTHER	GPR27	0
OTHER	HIF1AN	0
OTHER	HLXB9	0
OTHER	HOXA1	1
OTHER	HOXA11	0
OTHER	HOXA13	0
OTHER	HOXA2	1
OTHER	HOXA3	1
OTHER	HOXA7	1
OTHER	HOXA9	1
OTHER	HOXB1	0
OTHER	HOXB13	0
OTHER	HOXB2	0
OTHER	HOXB3	0
OTHER	HOXB4	0
OTHER	HOXB5	0
OTHER	HOXB7	0
OTHER	HOXB8	0
OTHER	HOXB9	0
OTHER	HOXC10	0
OTHER	HOXC13	0
OTHER	HOXC5	0
OTHER	HOXC6	0
OTHER	HOXC8	0
OTHER	HOXC9	0
OTHER	HOXD1	0
OTHER	HOXD10	0
OTHER	HOXD11	0
OTHER	HOXD12	1
OTHER	HOXD13	0
OTHER	HOXD3	0
OTHER	HOXD4	1
