gene	n_bins	sum_x1_ESC	sum_x2_NPC	ratio_x2_over_x1
0610005C13Rik	3	4	3	0.75
0610009B22Rik	3	8	8	1.0
0610009E02Rik	2	6	11	1.8333333333333333
0610009L18Rik	1	4	4	1.0
0610010F05Rik	3	7	8	1.1428571428571428
0610010K14Rik	3	6	7	1.1666666666666667
0610012G03Rik	3	3	6	2.0
0610030E20Rik	3	6	11	1.8333333333333333
0610031O16Rik	3	10	11	1.1
0610038B21Rik	3	7	9	1.2857142857142858
0610039H22Rik	3	10	8	0.8
0610039K10Rik	3	16	20	1.25
0610040B10Rik	1	0	0	NA
0610040F04Rik	1	4	7	1.75
0610040J01Rik	3	4	13	3.25
0610043K17Rik	3	6	8	1.3333333333333333
1110002E22Rik	3	9	10	1.1111111111111112
1110002J07Rik	3	5	4	0.8
1110002L01Rik	3	8	9	1.125
1110004F10Rik	1	3	4	1.3333333333333333
1110006O24Rik	3	10	5	0.5
1110008P14Rik	3	7	16	2.2857142857142856
1110012L19Rik	3	5	4	0.8
1110015O18Rik	3	1	6	6.0
1110017D15Rik	3	6	17	2.8333333333333335
1110019D14Rik	1	1	10	10.0
1110020A21Rik	2	7	7	1.0
1110025L11Rik	3	3	7	2.3333333333333335
1110028F11Rik	3	20	11	0.55
1110028F18Rik	3	9	6	0.6666666666666666
1110032A03Rik	3	10	1	0.1
1110032F04Rik	3	5	14	2.8
1110036E04Rik	3	10	9	0.9
1110038B12Rik	3	0	1	NA
1110038F14Rik	3	11	7	0.6363636363636364
1110046J04Rik	3	4	13	3.25
1110051M20Rik	3	11	10	0.9090909090909091
1110058D11Rik	3	10	7	0.7
1110059E24Rik	3	1	8	8.0
1110059G10Rik	3	3	7	2.3333333333333335
1110065P20Rik	3	23	41	1.7826086956521738
1190005I06Rik	3	19	39	2.0526315789473686
1190007I07Rik	3	6	5	0.8333333333333334
1190028D05Rik	3	4	5	1.25
1300002E11Rik	3	11	8	0.7272727272727273
1300017J02Rik	3	4	7	1.75
1500004A13Rik	3	4	10	2.5
1500009C09Rik	3	6	12	2.0
1500009L16Rik	3	6	6	1.0
1500011B03Rik	3	28	10	0.35714285714285715
1500012K07Rik	3	12	14	1.1666666666666667
1500015A07Rik	2	12	7	0.5833333333333334
1500015L24Rik	3	7	12	1.7142857142857142
1500026H17Rik	1	2	1	0.5
1600002D24Rik	3	6	8	1.3333333333333333
1600010M07Rik	3	8	13	1.625
1600012H06Rik	1	48	4	0.08333333333333333
1600012P17Rik	3	8	6	0.75
1600014C10Rik	3	0	0	NA
1600014C23Rik	3	4	9	2.25
1600019K03Rik	3	12	8	0.6666666666666666
1600020E01Rik	2	3	3	1.0
1600023N17Rik	3	1	9	9.0
1600025M17Rik	3	6	5	0.8333333333333334
1600027J07Rik	3	4	17	4.25
1600029I14Rik	3	0	4	NA
1600029O15Rik	3	4	5	1.25
1700001C19Rik	2	12	5	0.4166666666666667
1700001D01Rik	3	8	5	0.625
1700001F09Rik	3	8	11	1.375
1700001G01Rik	3	5	10	2.0
1700001G11Rik	1	2	2	1.0
1700001G17Rik	1	1	1	1.0
1700001J03Rik	3	39	13	0.3333333333333333
1700001J11Rik	3	0	8	NA
1700001K19Rik	3	13	8	0.6153846153846154
1700001K23Rik	3	20	11	0.55
1700001L05Rik	3	14	10	0.7142857142857143
1700001L19Rik	3	0	0	NA
1700001O22Rik	3	30	18	0.6
1700001P01Rik	3	20	17	0.85
1700003C15Rik	3	0	0	NA
1700003D09Rik	3	9	16	1.7777777777777777
1700003E16Rik	1	15	5	0.3333333333333333
1700003E24Rik	1	4	3	0.75
1700003F12Rik	3	8	14	1.75
1700003G18Rik	3	11	8	0.7272727272727273
1700003H04Rik	3	4	4	1.0
1700003I22Rik	3	6	20	3.3333333333333335
1700003L19Rik	3	14	21	1.5
1700003M07Rik	3	28	10	0.35714285714285715
1700003P14Rik	3	2	15	7.5
1700006A11Rik	3	2	2	1.0
1700006F04Rik	3	7	11	1.5714285714285714
1700006H21Rik	3	0	0	NA
1700007F19Rik	3	11	5	0.45454545454545453
1700007J10Rik	3	6	15	2.5
1700007K13Rik	3	9	12	1.3333333333333333
1700007L15Rik	3	4	17	4.25
1700007P06Rik	2	2	4	2.0
1700008C04Rik	3	11	15	1.3636363636363635
1700008J07Rik	2	7	10	1.4285714285714286
1700008K24Rik	3	12	10	0.8333333333333334
1700008O03Rik	3	6	14	2.3333333333333335
1700008P02Rik	3	0	6	NA
1700009C05Rik	3	12	7	0.5833333333333334
1700009J07Rik	3	0	0	NA
